ISO_CODE,ISO_NAME,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,Afghanistan,0.156962,0.155123,0.145738,0.146131,0.169756,0.145323,0.138256,0.143538,0.272304,0.217306,0.179391,0.196221,0.195196,0.217333,0.218008,0.215643,0.203141,0.204986,0.188691,0.171852,0.165978,0.151851,0.121648,0.112299,0.121625,0.133511,0.128442,0.117309,0.111775,0.111588,0.1207,0.11248,0.108629,0.111837,0.118458,0.120828,0.125627,0.109446,0.145311,0.180901,0.219736,0.234079,0.244653,0.259809,0.265748,0.27422,0.285303
ALB,Albania,2.062545,2.011569,2.238836,2.008563,2.057579,2.083139,2.193285,2.262862,2.497124,2.866653,2.849826,2.426347,2.460276,2.593516,2.749938,2.559291,2.52597,2.54853,2.466571,2.385462,1.987801,1.317849,0.716045,0.682725,0.736413,0.659344,0.660432,0.507545,0.578648,0.972673,1.0062,1.075421,1.248918,1.350672,1.409903,1.344544,1.343873,1.394059,1.395093,1.26505,1.384648,1.476388,1.441218,1.501637,1.650724,1.707743,1.777583
DZA,Algeria,1.207575,1.374259,2.034358,2.666209,2.217718,1.974244,2.475953,2.665642,2.875324,2.820308,2.757611,2.551801,2.572884,2.63261,2.666042,2.950033,3.00995,2.820995,2.778995,2.716292,2.556574,2.642085,2.842995,2.796791,2.644307,2.678303,2.598436,2.515187,2.493393,2.559031,2.606629,2.539405,2.631651,2.801259,2.747222,2.881444,2.987398,3.027208,3.104624,3.164661,3.180322,3.26205,3.451262,3.483056,3.6966,3.908491,3.847797
AGO,Angola,1.191541,1.113875,1.332318,1.413954,1.433636,1.286698,0.844159,1.326136,1.531392,1.481216,1.447261,1.293461,1.200732,1.199979,1.167603,1.203911,1.182966,1.172457,1.180621,1.163487,0.852658,0.865049,0.860852,0.838742,0.773126,0.83426,0.977171,0.994858,1.000764,1.038333,0.924401,0.878578,0.839204,0.890459,0.86239,0.756902,0.77629,0.779805,0.854902,0.910374,0.992354,0.959165,0.906247,0.948029,0.997605,1.062363,1.061352
AIA,Anguilla,0.338751,0.33613,0.34822,0.321434,0.356056,0.389693,0.365484,0.379177,0.432377,0.478789,0.658552,0.998418,1.065019,0.930969,0.88562,0.551121,0.458471,0.850774,0.765759,0.771411,0.733973,0.874162,0.88001,1.07354,1.376364,1.672955,1.60521,1.316831,1.185545,1.087999,1.399178,1.395523,0.927963,1.175373,1.095175,1.084173,0.993149,0.935903,1.139379,1.482365,1.739408,1.857705,1.820027,1.974129,1.976413,2.041796,2.044727
ATG,Antigua and Barbuda,2.199192,2.280382,2.84471,3.08606,2.553082,3.151171,2.604261,2.897838,2.722676,2.588432,2.561382,2.656138,3.307424,2.244288,2.717337,2.448722,2.738883,3.101224,3.610448,3.596474,3.65395,3.661184,3.584874,3.305245,3.462609,3.504424,3.467418,3.282411,3.142006,3.129215,3.324118,3.440603,3.295143,3.396446,3.50861,3.410463,3.355861,3.508283,3.478976,3.527972,3.713037,3.875013,3.84476,4.185527,4.201628,4.326552,4.344192
ARG,Argentina,3.629998,3.584285,3.567339,3.675715,3.624033,3.480629,3.608179,3.680593,3.652319,3.794701,3.653153,3.53224,3.404645,3.417717,3.301672,3.06873,3.386307,3.496578,3.604781,3.478491,3.248925,3.331957,3.373152,3.380962,3.5495,3.507431,3.808266,3.883533,3.94395,3.986925,3.870534,3.5655,3.32504,3.558394,3.955725,4.036489,4.243328,4.376176,4.645872,4.399362,4.542409,4.587847,4.51485,4.381993,4.597189,4.617263,4.582381
ARM,Armenia,4.278945,4.186978,4.396943,4.690224,4.968043,5.350843,5.412581,5.521144,5.613293,5.738261,6.003638,6.034306,6.11954,6.054356,5.989408,5.969776,5.921526,5.890808,5.810846,5.642375,5.811297,6.106417,3.162863,1.505539,0.843144,1.087609,0.807975,1.060229,1.109377,0.999101,1.156646,1.185966,1.018815,1.145715,1.242015,1.487609,1.510723,1.765357,1.952375,1.571456,1.431028,1.636305,1.637467,1.532966,1.515272,1.527887,1.574605
ABW,Aruba,0.138471,0.136299,0.137488,0.142525,0.153318,0.197088,1.06342,1.023148,2.977563,3.236468,3.450982,3.578905,3.861862,3.005604,3.288102,4.248218,3.005835,4.626974,3.904643,4.093886,4.018912,4.02468,4.122308,4.323265,4.182773,3.938022,0.474857,0.544821,0.85728,0.957129,1.596541,1.621567,1.557889,1.558033,1.439119,1.359893,1.333061,1.523405,1.419181,1.514272,1.784661,1.53122,1.511669,1.64205,1.636761,1.682128,1.697459
AUS,Australia,12.50223,12.3215,12.57939,13.10732,13.58284,13.98112,13.98082,14.71556,14.36618,14.56628,15.16599,15.02321,15.24236,14.15447,14.35629,15.09351,14.83949,15.24587,15.59725,16.24256,16.24812,16.08427,16.09053,16.1358,16.27755,16.65293,17.01647,17.35181,18.24432,18.54543,18.66872,19.13126,19.48897,19.77039,20.36939,20.31646,19.73539,20.41737,20.16989,20.04338,18.95996,18.97756,18.32341,17.84278,17.23815,17.60875,17.21945
AUT,Austria,7.025316,7.293847,7.566539,7.965335,7.627765,7.321195,7.994131,7.639553,7.916532,8.244558,8.006936,7.58819,7.312547,7.308923,7.535997,7.720614,7.537202,7.606395,7.396236,7.364655,7.929048,8.369915,7.661992,7.60951,7.626134,7.960662,8.412757,8.350711,8.418563,8.174535,8.220142,8.765426,8.9509,9.544022,9.64083,9.736343,9.373612,9.082319,9.143795,8.20318,8.930128,8.792819,8.610191,8.593714,8.121575,8.369108,8.468899
AZE,Azerbaijan,6.173539,6.062688,6.390013,6.820275,7.216369,7.887287,8.098948,8.359133,8.618719,8.889957,9.254357,9.401605,9.466456,9.612393,9.704205,9.712716,9.945772,10.14101,10.11539,9.988872,7.344095,7.057636,5.59415,4.84155,4.26351,4.101728,3.402373,3.204334,3.177571,3.26443,3.430025,3.231548,3.173001,3.439104,3.36987,3.543146,3.555404,3.197234,3.482154,2.881015,2.716937,3.036583,3.157372,3.204563,3.295106,3.50861,3.4547
